homeAway,Ball_Possession_1st_Half,Corners_1st_Half,Fouls_Commited_1st_Half,Goals_1st_Half,Red_Cards_1st_Half,Shots_1st_Half,Shots_On_1st_Half,Yellow_Cards_1st_Half,Result
1,48,1,2,0,0,7,3,1,0
0,62,2,3,0,0,3,1,0,0
0,45,1,2,2,0,4,4,0,0
0,65,3,7,0,0,4,0,1,0
0,34,0,3,1,0,3,1,1,0
0,43,1,4,0,0,1,1,1,0
1,29,3,2,0,0,2,0,2,0
1,57,8,6,1,0,1,1,0,0
1,52,3,4,0,0,4,2,1,0
1,43,5,2,1,0,4,4,0,1
0,57,1,8,0,0,3,3,0,1
1,46,3,2,0,0,1,0,0,0
1,45,1,8,0,1,2,0,1,0
1,59,1,3,1,0,4,4,1,0
1,30,3,4,0,0,6,2,0,0
1,39,0,5,0,0,4,3,0,0
0,28,2,9,1,0,3,2,2,0
0,32,3,6,0,0,1,1,0,0
0,29,3,1,0,0,1,1,1,0
1,25,0,6,0,0,1,0,0,0
1,62,4,3,0,0,6,2,0,0
0,42,3,7,1,0,1,1,0,0
1,47,2,5,0,0,1,1,1,0
1,68,3,8,1,0,3,1,3,1
0,32,0,5,0,0,0,0,2,1
1,50,4,7,0,0,7,3,1,1
0,50,3,8,0,0,3,0,1,1
0,29,2,6,0,0,5,2,0,0
1,55,1,8,0,0,1,0,2,0
1,65,3,2,0,0,2,2,1,0
1,58,3,7,0,0,2,2,3,0
1,20,0,9,0,0,2,2,1,1
0,80,2,5,1,0,3,2,0,1
0,75,3,2,0,0,3,3,1,0
1,52,2,6,0,0,2,0,0,0
1,54,5,5,0,0,5,3,0,0
1,63,0,8,0,0,4,1,3,1
0,37,2,8,0,0,4,1,2,1
0,31,3,4,0,0,1,0,1,0
1,54,1,8,0,0,3,0,1,0
1,61,3,4,1,0,3,2,2,1
0,39,1,8,1,0,5,1,0,1
1,46,2,2,0,0,2,1,0,1
0,54,6,6,1,0,2,2,2,1
1,45,5,4,0,0,5,2,0,0
1,47,2,4,0,0,2,1,0,0
0,55,4,9,0,0,8,5,1,0
0,45,6,7,0,0,3,2,1,0
0,68,1,2,0,0,1,0,0,0
1,49,2,4,1,0,6,3,0,0
0,35,0,6,0,0,2,0,2,0
0,33,0,4,0,0,2,2,0,0
0,54,5,7,0,0,3,1,1,0
0,39,1,4,0,0,2,1,1,0
0,27,4,9,0,0,4,3,2,0
0,43,2,6,0,0,1,0,0,0
1,44,1,8,0,0,3,2,2,0
1,38,1,3,0,0,1,1,0,1
0,62,1,3,1,0,7,2,0,1
0,39,3,10,2,0,5,3,2,0
1,50,2,10,0,0,4,1,1,1
0,50,3,4,0,0,6,2,0,1
1,46,2,4,1,0,8,4,1,1
0,54,3,3,0,0,6,2,1,1
0,60,5,2,0,0,1,0,0,0
1,41,3,6,1,0,2,1,0,1
0,59,4,2,1,0,3,1,0,1
1,29,1,8,0,0,1,1,1,0
0,59,2,6,0,0,4,3,1,0
0,40,3,6,0,0,0,0,0,0
1,28,1,6,0,0,0,0,1,0
1,46,0,5,0,0,2,0,0,0
1,36,6,2,1,0,7,3,0,1
0,64,1,3,1,0,4,3,0,1
1,55,3,8,0,1,5,3,1,1
0,45,4,2,0,0,2,2,0,1
0,49,1,5,0,0,2,1,1,0
1,60,0,5,0,0,2,0,0,0
0,40,4,12,0,0,6,3,1,0
1,47,1,8,1,0,2,2,1,0
1,64,0,7,0,0,4,1,1,0
0,42,2,5,0,0,3,2,1,0
